source_id,target_id,relation_type,score
T1055.011,CWE-1334,related_to,0.46595186
T1053.005,CWE-250,related_to,0.400473
T1156,CWE-506,related_to,0.4329675
T1027.011,CWE-922,related_to,0.42138726
T1557,CWE-523,related_to,0.49997413
T1218.011,CWE-506,related_to,0.41167623
T1613,CWE-1229,related_to,0.4626373
T1143,CWE-1022,related_to,0.45025054
T1132.001,CWE-173,related_to,0.5752679
T1027.009,CWE-506,related_to,0.500403
T1150,CWE-268,related_to,0.4634203
T1556.003,CWE-305,related_to,0.53461945
T1056.001,CWE-523,related_to,0.4465828
T1564.012,CWE-424,related_to,0.529514
T1222.002,CWE-281,related_to,0.46717045
T1110.001,CWE-798,related_to,0.45359826
T1003,CWE-523,related_to,0.5294537
T1129,CWE-1047,related_to,0.47105446
T1561.002,CWE-1266,related_to,0.44069585
T1492,CWE-202,related_to,0.49711674
T1574.007,CWE-424,related_to,0.4779867
T1006,CWE-515,related_to,0.42075467
T1044,CWE-281,related_to,0.5467056
T1588.007,CWE-1229,related_to,0.41239682
T1666,CWE-99,related_to,0.4250068
T1027.013,CWE-318,related_to,0.42748123
T1590.005,CWE-1327,related_to,0.4041599
T1014,CWE-506,related_to,0.4004248
T1590.002,CWE-350,related_to,0.57818264
T1514,CWE-250,related_to,0.5547346
T1543,CWE-250,related_to,0.48362193
T1109,CWE-1334,related_to,0.44961435
T1539,CWE-614,related_to,0.4697338
T1053.007,CWE-1193,related_to,0.43561637
T1036.007,CWE-646,related_to,0.4913646
T1548.002,CWE-269,related_to,0.52349025
T1099,CWE-385,related_to,0.42154202
T1548.003,CWE-250,related_to,0.426526
T1578,CWE-733,related_to,0.43993866
T1584.008,CWE-1051,related_to,0.41753635
T1583.008,CWE-1229,related_to,0.43030906
T1069,CWE-281,related_to,0.41787153
T1003.002,CWE-522,related_to,0.46119916
T1542.001,CWE-1277,related_to,0.47337562
T1574.011,CWE-280,related_to,0.44566813
T1596.001,CWE-350,related_to,0.5376041
T1195.001,CWE-487,related_to,0.40131158
T1561,CWE-1266,related_to,0.41644853
T1071.004,CWE-350,related_to,0.4185547
T1555.002,CWE-523,related_to,0.5404679
T1542.003,CWE-1334,related_to,0.40308264
T1116,CWE-1291,related_to,0.4907324
T1036.005,CWE-99,related_to,0.45042723
T1565.001,CWE-202,related_to,0.4963715
T1110.002,CWE-640,related_to,0.45242876
T1555.001,CWE-798,related_to,0.40873194
T1003.004,CWE-523,related_to,0.518053
T1600,CWE-326,related_to,0.6033123
T1606.002,CWE-523,related_to,0.4079098
T1192,CWE-363,related_to,0.45273083
T1036.008,CWE-434,related_to,0.4037876
T1587.001,CWE-506,related_to,0.4546411
T1121,CWE-625,related_to,0.425343
T1652,CWE-67,related_to,0.40733188
T1206,CWE-266,related_to,0.4035196
T1559.002,CWE-1057,related_to,0.40401775
T1204.002,CWE-506,related_to,0.54455626
T1592.001,CWE-1278,related_to,0.5187741
T1484.002,CWE-501,related_to,0.48039773
